@relation ps_c8_a_15_t_all
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute AROMA real 
@attribute AR_BNZ real
@attribute MMTBE  real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
82.30, 81.30, 4.80, 21.40, 3.59, 0.50, 100 
78.30, 79.00, 5.10, 21.20, 3.64, 0.70, 100 
76.60, 78.30, 5.10, 23.20, 4.25, 0.40, 100 
75.70, 78.00, 5.40, 19.90, 3.63, 0.40, 100 
76.30, 77.70, 5.40, 22.40, 3.76, 0.40, 100 
75.20, 77.70, 5.60, 20.20, 3.58, 0.40, 100 
73.60, 77.10, 5.80, 20.00, 3.53, 0.40, 100 
74.30, 77.40, 5.80, 23.20, 3.43, 0.50, 100 
75.50, 77.80, 6.20, 19.90, 3.28, 0.60, 100 
80.40, 77.10, 2.80, 20.90, 3.45, 0.80, 100 
82.10, 77.00, 3.10, 28.00, 3.83, 0.70, 100 
80.30, 76.80, 3.20, 23.10, 3.54, 0.70, 100 
82.00, 78.10, 3.50, 23.20, 3.50, 0.80, 100 
80.90, 76.80, 3.60, 26.30, 3.64, 0.70, 100 
80.00, 77.00, 3.80, 24.40, 3.61, 0.70, 100 
81.60, 77.40, 3.90, 25.40, 3.69, 0.70, 100 
81.30, 76.80, 3.90, 28.90, 3.74, 0.70, 100 
80.40, 76.90, 4.10, 22.70, 3.52, 0.80, 100 
80.90, 77.00, 4.20, 24.60, 3.75, 0.80, 100 
81.20, 77.10, 4.20, 26.30, 3.64, 0.80, 100 
81.30, 77.20, 4.20, 25.20, 3.63, 0.00, 100 
73.80, 77.20, 5.90, 20.00, 3.58, 0.50, 100 
76.10, 77.80, 5.90, 21.80, 3.80, 0.60, 100 
75.40, 77.80, 6.10, 24.70, 4.24, 0.50, 100 
82.00, 76.80, 3.00, 28.40, 3.74, 0.60, 100 
79.90, 75.50, 1.10, 23.80, 3.45, 0.40, 100 
80.20, 76.30, 1.50, 23.90, 3.30, 0.50, 100 
82.10, 76.60, 1.50, 29.60, 3.85, 0.40, 100 
82.10, 77.60, 2.80, 28.40, 3.82, 0.60, 100 
81.70, 77.30, 2.90, 27.30, 3.87, 0.60, 100 
82.00, 77.60, 3.40, 25.40, 3.72, 0.70, 100 
75.90, 77.20, 4.60, 24.20, 3.77, 0.00, 100 
75.20, 77.50, 4.80, 20.90, 3.29, 0.70, 100 
78.50, 80.30, 5.10, 19.20, 3.86, 0.50, 100 
81.50, 76.80, 1.60, 32.40, 4.04, 0.60, 100 
81.40, 77.30, 1.80, 24.40, 3.19, 0.40, 100 
82.00, 76.20, 1.90, 31.40, 3.46, 0.30, 100 
78.90, 76.40, 3.60, 21.00, 4.11, 1.00, 100 
78.20, 76.00, 3.70, 19.30, 4.04, 1.00, 100 
77.60, 75.60, 3.80, 17.50, 3.51, 0.90, 100 
77.60, 75.50, 4.50, 17.60, 4.00, 1.00, 100 
75.80, 77.20, 4.60, 24.40, 3.81, 0.00, 100 
78.00, 78.10, 4.70, 24.60, 3.35, 1.20, 100 
76.20, 77.80, 5.30, 22.50, 3.44, 0.00, 100 
78.00, 76.30, 4.70, 17.40, 4.25, 1.20, 100 
75.80, 77.10, 4.80, 25.00, 2.98, 0.60, 100 
80.20, 76.80, 4.80, 24.50, 4.04, 0.90, 100 
80.30, 76.60, 4.90, 26.00, 4.13, 0.90, 100 
78.50, 76.60, 5.10, 17.30, 3.84, 1.20, 100 
73.60, 77.40, 5.40, 20.00, 3.06, 0.50, 100 
74.30, 77.30, 6.00, 20.20, 3.38, 0.40, 100 
82.50, 77.10, 4.20, 26.80, 3.66, 0.90, 100 
82.50, 77.10, 4.20, 27.00, 3.89, 0.80, 100 
77.50, 77.80, 6.50, 23.90, 3.22, 1.10, 100 
82.10, 77.60, 4.50, 25.90, 3.66, 1.10, 100 
78.70, 76.70, 4.90, 17.40, 3.79, 1.10, 100 
96.30, 85.20, 12.10, 0.00, 0.48, 11.60, 301 
79.90, 75.90, 2.70, 22.00, 3.72, 0.80, 100 
79.70, 79.40, 5.60, 22.40, 3.85, 0.90, 100 
94.20, 85.20, 9.60, 24.60, 0.36, 16.10, 301 
94.60, 85.30, 10.80, 23.40, 0.44, 14.80, 301 
95.20, 84.60, 11.30, 27.60, 0.54, 14.60, 301 
94.60, 85.70, 10.00, 24.60, 0.38, 14.50, 301 
94.90, 85.50, 11.70, 24.00, 0.53, 13.70, 301 
95.80, 85.30, 10.70, 34.20, 0.70, 5.30, 301 
95.80, 84.60, 12.30, 33.40, 0.52, 6.40, 301 
95.90, 85.30, 12.70, 33.10, 0.69, 6.00, 301 
96.40, 85.50, 13.00, 34.10, 0.70, 6.60, 301 
96.50, 85.70, 13.10, 35.10, 0.71, 7.20, 301 
96.30, 85.90, 13.10, 31.60, 0.76, 9.10, 301 
95.90, 84.60, 13.20, 32.60, 0.55, 6.10, 301 
96.70, 85.80, 13.20, 34.10, 0.72, 6.80, 301 
96.70, 85.70, 13.30, 34.00, 0.71, 6.60, 301 
96.20, 85.70, 13.40, 28.00, 0.63, 11.40, 301 
96.30, 85.70, 13.40, 28.80, 0.65, 10.90, 301 
96.60, 85.70, 13.90, 33.10, 0.72, 7.60, 301 
96.40, 85.70, 14.00, 32.60, 0.74, 6.50, 301 
96.40, 85.90, 14.20, 27.60, 0.62, 11.70, 301 
96.30, 85.70, 14.30, 32.20, 0.68, 6.70, 301 
94.80, 85.30, 9.90, 24.70, 0.34, 15.40, 301 
94.90, 85.40, 10.40, 24.30, 0.35, 15.30, 301 
94.00, 84.90, 10.40, 24.00, 0.30, 15.20, 301 
95.60, 85.60, 10.70, 24.20, 0.35, 15.20, 301 
94.60, 84.60, 11.00, 25.60, 0.37, 15.50, 301 
94.80, 84.80, 11.20, 25.60, 0.41, 15.30, 301 
94.60, 84.70, 11.30, 25.80, 0.39, 15.60, 301 
94.40, 84.70, 11.40, 25.50, 0.32, 15.60, 301 
95.30, 85.20, 10.10, 28.40, 0.44, 13.80, 301 
94.70, 84.80, 10.10, 28.10, 0.53, 13.40, 301 
96.60, 86.40, 10.40, 28.80, 0.34, 13.10, 301 
94.50, 85.50, 10.70, 24.30, 0.33, 14.60, 301 
94.80, 95.30, 11.00, 24.40, 0.33, 15.10, 301 
95.00, 85.40, 11.10, 24.00, 0.37, 14.70, 301 
95.10, 85.00, 10.70, 27.30, 0.45, 15.00, 301 
95.80, 85.20, 11.30, 27.50, 3.60, 13.10, 301 
95.30, 85.60, 7.60, 34.60, 0.71, 9.80, 301 
96.20, 85.90, 10.80, 32.30, 0.61, 10.60, 301 
96.10, 85.90, 11.10, 30.70, 0.58, 11.10, 301 
95.70, 85.40, 11.50, 33.70, 0.70, 6.60, 301 
95.70, 85.80, 11.80, 28.00, 0.63, 12.90, 301 
95.80, 86.10, 12.60, 27.20, 0.59, 13.00, 301 
95.90, 85.90, 12.80, 28.10, 0.62, 13.10, 301 
96.00, 86.00, 12.90, 27.50, 0.63, 12.90, 301 
95.90, 86.00, 12.90, 27.70, 0.62, 13.00, 301 
95.10, 85.50, 7.40, 34.50, 0.67, 9.60, 301 
95.10, 85.60, 11.00, 26.20, 0.46, 11.30, 301 
94.50, 85.30, 9.20, 24.90, 0.35, 15.10, 301 
95.20, 85.80, 10.70, 23.70, 0.34, 14.20, 301 
95.90, 85.00, 11.90, 26.90, 0.46, 15.90, 301 
95.00, 85.30, 11.70, 24.00, 0.35, 15.50, 301 
94.60, 85.10, 10.60, 25.80, 0.23, 14.20, 301 
95.90, 85.50, 12.00, 27.60, 0.62, 10.80, 301 
95.10, 85.10, 11.40, 27.10, 0.28, 13.40, 301 
96.00, 95.30, 8.10, 22.70, 0.35, 13.30, 301 
94.90, 85.30, 1.10, 25.00, 0.45, 14.20, 301 
94.00, 85.10, 9.40, 24.90, 0.34, 15.40, 301 
96.30, 87.00, 9.20, 23.00, 0.39, 13.30, 301 
94.80, 85.00, 10.90, 27.10, 0.30, 15.20, 301 
94.90, 84.60, 11.10, 28.40, 0.31, 15.40, 301 
96.20, 85.20, 12.30, 27.50, 0.49, 14.10, 301 
94.90, 85.00, 10.50, 23.70, 0.37, 15.60, 301 
95.80, 86.00, 11.70, 27.70, 0.63, 12.30, 301 
98.30, 88.20, 6.00, 36.00, 0.49, 13.80, 401 
99.50, 87.50, 5.50, 34.10, 0.16, 16.90, 401 
99.20, 87.10, 5.80, 35.40, 0.26, 17.20, 401 
98.30, 88.00, 6.40, 35.90, 0.35, 13.10, 401 
98.80, 97.50, 12.30, 27.80, 0.22, 13.00, 401 
92.90, 83.70, 12.00, 33.00, 0.24, 1.90, 203 
92.30, 83.70, 13.00, 29.50, 0.27, 3.60, 203 
82.80, 78.30, 4.10, 28.50, 3.80, 1.00, 100 
81.20, 77.40, 4.20, 23.10, 3.56, 0.90, 100 
77.60, 78.20, 5.70, 22.60, 3.73, 1.00, 100 
75.90, 77.80, 5.70, 20.00, 3.51, 0.60, 100 
74.20, 77.30, 5.90, 19.70, 3.57, 0.40, 100 
81.60, 77.30, 3.00, 27.30, 3.90, 0.70, 100 
79.20, 76.50, 3.00, 18.20, 3.34, 1.10, 100 
80.80, 76.80, 3.00, 23.60, 3.29, 0.80, 100 
77.50, 78.10, 6.00, 22.50, 3.58, 0.90, 100 
81.70, 77.20, 2.60, 25.60, 3.22, 0.60, 100 
80.30, 76.40, 2.60, 23.30, 3.24, 0.60, 100 
79.70, 76.10, 3.40, 26.10, 3.79, 0.80, 100 
79.90, 76.90, 3.40, 20.00, 3.61, 1.20, 100 
78.60, 76.00, 3.80, 20.60, 3.77, 1.10, 100 
75.40, 77.60, 6.30, 20.70, 3.30, 0.80, 100 
82.30, 77.90, 3.80, 25.30, 3.63, 1.00, 100 
76.00, 77.20, 4.60, 24.30, 3.48, 0.00, 100 
76.40, 77.40, 5.10, 25.10, 3.58, 0.30, 100 
75.60, 77.60, 5.10, 21.30, 3.14, 0.80, 100 
75.80, 77.30, 5.20, 24.00, 3.19, 1.10, 100 
79.20, 76.50, 5.20, 19.20, 3.96, 1.30, 100 
80.90, 77.20, 5.50, 24.80, 3.95, 1.10, 100 
77.20, 78.00, 5.60, 22.80, 3.73, 1.20, 100 
77.00, 78.10, 5.70, 24.40, 3.82, 0.30, 100 
78.20, 78.60, 5.70, 27.70, 3.71, 0.70, 100 
77.20, 78.00, 5.90, 22.50, 3.61, 1.00, 100 
97.50, 86.30, 11.60, 34.30, 1.23, 6.30, 301 
94.90, 85.40, 11.90, 26.30, 0.25, 13.90, 301 
96.00, 85.00, 14.10, 32.00, 0.64, 5.40, 301 
93.70, 83.90, 11.20, 34.50, 0.00, 0.20, 202 
93.90, 84.10, 11.30, 34.20, 0.00, 0.30, 202 
93.60, 83.90, 11.10, 34.10, 0.00, 0.30, 202 
93.50, 83.90, 11.10, 34.00, 0.00, 0.30, 202 
75.90, 78.10, 5.20, 19.50, 3.69, 0.40, 100 
75.60, 78.20, 5.40, 18.70, 3.37, 0.40, 100 
94.40, 85.20, 13.00, 24.00, 0.18, 13.30, 301 
93.80, 84.70, 12.10, 24.80, 0.26, 13.20, 301 
96.60, 87.00, 12.60, 24.90, 0.28, 12.20, 301 
93.40, 84.70, 11.20, 22.20, 0.26, 15.60, 301 
93.70, 84.20, 12.40, 28.90, 0.25, 9.40, 301 
93.80, 85.00, 11.90, 23.80, 0.32, 13.20, 301 
74.80, 78.30, 5.90, 18.10, 3.30, 0.60, 100 
76.20, 78.60, 5.40, 18.90, 3.93, 0.60, 100 
93.90, 84.60, 11.70, 24.70, 0.28, 14.60, 301 
94.10, 85.00, 10.80, 23.80, 0.30, 15.40, 301 
93.60, 84.50, 12.10, 26.20, 0.26, 12.90, 301 
93.80, 84.80, 11.10, 24.40, 0.31, 15.20, 301 
94.20, 84.90, 12.40, 24.60, 0.22, 12.60, 301 
94.20, 85.00, 12.90, 24.10, 0.20, 13.10, 301 
93.60, 84.50, 11.90, 25.40, 0.33, 12.40, 301 
93.40, 84.90, 11.50, 22.40, 0.27, 15.40, 301 
92.90, 83.70, 13.40, 29.90, 0.29, 3.40, 203 
