@relation ps001_c8_a16_t_10-11
@attribute RON real 
@attribute MON real 
@attribute OLF real 
@attribute ALK real
@attribute AROMA real 
@attribute AR_BNZ real
@attribute AR_KS real
@attribute AR_TL real
@attribute MOX real 
@attribute MMETANOL real 
@attribute METANOL real 
@attribute MMTBE  real 
@attribute METBE real 
@attribute MTAME real 
@attribute MDIPE  real 
@attribute MTBS real 

@attribute class {100, 101, 201, 202, 203, 301, 302, 401}

@data
96.20, 85.70, 12.10, 48.00, 33.50, 0.85, 7.90, 10.40, 1.16, 0.00, 0.00, 6.00, 0.00, 0.00, 0.00, 3.00, 301 
96.30, 85.40, 13.00, 46.50, 33.60, 0.71, 7.10, 12.00, 1.27, 0.00, 0.00, 6.20, 0.00, 0.00, 0.00, 6.00, 301 
96.10, 85.50, 13.60, 46.50, 33.10, 0.72, 7.70, 10.80, 1.27, 0.00, 0.00, 6.70, 0.00, 0.00, 0.00, 2.00, 301 
94.80, 84.90, 8.10, 49.50, 33.30, 0.49, 6.10, 9.80, 1.81, 0.00, 0.00, 8.70, 0.40, 0.00, 10.00, 0.00, 301 
94.30, 85.30, 9.20, 47.70, 25.40, 0.30, 7.20, 5.10, 2.70, 0.00, 0.00, 15.30, 0.00, 1.10, 1.20, 0.00, 301 
94.60, 84.60, 9.50, 46.40, 26.20, 0.27, 6.80, 6.10, 3.21, 0.00, 0.00, 15.50, 0.00, 1.10, 1.30, 0.00, 301 
94.60, 85.50, 9.90, 47.60, 23.60, 0.47, 6.30, 5.10, 3.35, 0.00, 0.00, 16.30, 0.00, 1.10, 1.30, 0.00, 301 
94.50, 86.50, 10.00, 47.00, 24.50, 0.27, 6.60, 5.30, 3.31, 0.00, 0.00, 16.10, 0.00, 1.10, 1.30, 0.00, 301 
93.20, 84.70, 10.70, 49.10, 22.20, 0.21, 5.50, 4.90, 3.22, 0.00, 0.00, 15.40, 0.00, 1.30, 1.30, 0.00, 301 
94.40, 84.80, 10.90, 46.40, 25.00, 0.30, 6.20, 5.70, 3.21, 0.00, 0.00, 15.50, 0.00, 1.10, 1.30, 0.00, 301 
96.50, 85.90, 13.70, 45.90, 29.40, 0.71, 5.60, 11.60, 2.00, 0.00, 0.00, 10.60, 0.00, 0.00, 0.00, 3.00, 301 
96.40, 85.80, 13.90, 46.40, 27.80, 0.62, 6.40, 9.90, 2.18, 0.00, 0.00, 11.60, 0.00, 0.00, 0.00, 3.00, 301 
97.00, 85.00, 14.10, 43.70, 33.80, 0.76, 7.60, 11.70, 1.56, 0.00, 0.00, 7.80, 0.00, 0.00, 0.00, 6.00, 301 
96.10, 84.80, 14.30, 47.90, 31.10, 0.61, 7.40, 9.00, 1.24, 0.00, 0.00, 6.30, 0.00, 0.00, 0.00, 4.00, 301 
96.40, 85.80, 14.30, 45.70, 28.60, 0.65, 6.40, 10.70, 2.09, 0.00, 0.00, 10.90, 0.00, 0.00, 0.20, 3.00, 301 
96.30, 85.60, 14.60, 42.40, 33.90, 0.71, 6.20, 14.80, 1.70, 0.00, 0.20, 8.30, 0.00, 0.00, 0.30, 3.00, 301 
94.30, 85.40, 8.40, 50.30, 23.90, 0.32, 6.80, 4.90, 3.12, 0.00, 0.00, 15.20, 0.00, 1.00, 1.20, 0.00, 301 
97.50, 85.30, 10.00, 46.70, 25.10, 0.29, 6.70, 5.50, 3.26, 0.00, 0.00, 15.90, 0.00, 1.10, 1.20, 0.00, 301 
94.70, 85.10, 10.10, 46.70, 25.60, 0.34, 6.80, 5.10, 3.15, 0.00, 0.00, 15.30, 0.00, 1.10, 1.20, 0.00, 301 
93.60, 84.70, 10.30, 48.50, 23.40, 0.33, 5.90, 5.20, 3.17, 0.00, 0.00, 15.30, 0.00, 1.20, 1.20, 0.00, 301 
94.90, 85.50, 10.50, 48.10, 24.30, 0.35, 6.40, 5.00, 3.15, 0.00, 0.00, 15.30, 0.00, 1.10, 1.20, 0.00, 301 
94.50, 84.80, 10.90, 44.40, 27.00, 0.20, 7.00, 6.20, 3.18, 0.00, 0.00, 15.30, 0.00, 1.20, 1.30, 0.00, 301 
